LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,total_fees,pnl_net,elapsed_s
0.0014,0.5,0.05,4004.7484988747337,0.6048109965635738,291,176,115,0.274541676471721,4204.748498874734,4204.748498874734,569,126.91807450401917,4004.7484988747337,13.51955825
0.0014,0.5,0.075,12393.848297273076,0.5727699530516432,426,244,182,0.35579023307721463,12593.848297273076,12593.848297273076,564,444.305484001128,12393.848297273076,14.225707708
0.0014,0.5,0.1,13111.661972531068,0.5704225352112676,426,243,183,0.3048139262212726,13311.661972531068,13311.661972531068,564,460.64850903062296,13111.661972531068,14.115282209
0.0014,0.5,0.125,13229.476908823452,0.5765550239234449,418,241,177,0.2967392644632355,13429.476908823452,13429.476908823452,564,463.3828169263262,13229.476908823452,14.365779958
0.0014,0.55,0.03,12541.093232208159,0.7082152974504249,353,250,103,0.1699180231886329,12741.093232208159,12741.093232208159,906,317.81481306547596,12541.093232208159,14.389858625
0.0014,0.55,0.05,26654.323691669688,0.667420814479638,442,295,147,0.2681254441229388,26854.323691669688,26854.323691669688,902,770.40503116419,26654.323691669688,13.789639459
0.0014,0.55,0.075,38024.17531604148,0.6360759493670886,632,402,230,0.37155261008852,38224.17531604148,38224.17531604148,887,1111.1322328782885,38024.17531604148,13.34860575
0.0014,0.55,0.1,38676.15926057387,0.6272727272727273,660,414,246,0.3663804422253627,38876.15926057387,38876.15926057387,887,1135.4992088074698,38676.15926057387,13.167579
0.0014,0.55,0.125,39257.5674784205,0.6348733233979136,671,426,245,0.3767446544086696,39457.5674784205,39457.5674784205,887,1169.2777916131247,39257.5674784205,14.396571333
0.0014,0.6,0.03,9314.42214185069,0.6927083333333334,384,266,118,0.17230464511154367,9514.42214185069,9514.42214185069,1137,288.3971481553279,9314.42214185069,14.134429208
0.0014,0.6,0.05,36509.85657672496,0.6461916461916462,814,526,288,0.267288502515972,36709.85657672496,36709.85657672496,1122,1255.9907331864665,36509.85657672496,14.138739833
0.0014,0.6,0.075,38226.736542631494,0.6422466422466423,819,526,293,0.31532097665721587,38426.736542631494,38426.736542631494,1123,1321.6497621535993,38226.736542631494,13.369911166
0.0014,0.6,0.1,38693.16882189679,0.6380368098159509,815,520,295,0.3636510777387134,38893.16882189679,38893.16882189679,1123,1327.0720422758516,38693.16882189679,14.125566959
0.0014,0.6,0.125,39282.518377595065,0.6428571428571429,812,522,290,0.33261890640499675,39482.518377595065,39482.518377595065,1123,1356.3403344033861,39282.518377595065,13.533553667
0.0014,0.65,0.03,12453.359138939964,0.6986607142857143,448,313,135,0.17043586866316346,12808.448810557804,12653.359138939964,1323,391.164712303819,12453.359138939964,12.499133416
0.0014,0.65,0.05,30250.70503811333,0.6340852130325815,798,506,292,0.4427601597076829,30605.79470973117,30450.70503811333,1299,1041.9492612879305,30250.70503811333,12.496688875
0.0014,0.65,0.075,38384.80736352014,0.6405375139977604,893,572,321,0.36522155766217373,38739.89703513799,38584.80736352014,1298,1357.1158238462876,38384.80736352014,13.619130416
0.0014,0.65,0.1,39239.83208914869,0.64,900,576,324,0.36315446623619413,39594.921760766534,39439.83208914869,1299,1393.7818951217153,39239.83208914869,11.8332695
0.0014,0.65,0.125,39953.31580322384,0.6383682469680264,907,579,328,0.3818294116553703,40308.40547484169,40153.31580322384,1292,1439.7921579346964,39953.31580322384,13.604528625
0.0014,0.7,0.03,12241.110902491595,0.6891891891891891,518,357,161,0.21725906288885907,12819.008480781033,12441.110902491595,1551,419.15472681790317,12241.110902491595,13.5484725
0.0014,0.7,0.05,28797.505840840917,0.6551724137931034,812,532,280,0.4422532980072961,29492.600468661607,28997.505840840917,1512,1011.753932933179,28797.505840840917,13.972199542
0.0014,0.7,0.075,36988.47835543709,0.6566265060240963,996,654,342,0.3993659932220939,37683.57298325778,37188.47835543709,1501,1408.626682760322,36988.47835543709,14.334613
0.0014,0.7,0.1,37884.69829156027,0.6537250786988458,953,623,330,0.41855648110925747,38579.79291938096,38084.69829156027,1508,1427.0338656278254,37884.69829156027,14.0946305
0.0014,0.7,0.125,39595.871805604045,0.660541586073501,1034,683,351,0.41258506694671,40290.966433424735,39795.871805604045,1503,1590.1964814115436,39595.871805604045,13.572155
0.0016,0.5,0.03,1214.0035506332533,0.6778523489932886,149,101,48,0.1405603391162075,1414.0035506332533,1414.0035506332533,390,32.895138377735954,1214.0035506332533,12.817755458
0.0016,0.5,0.05,2873.58129552185,0.6269430051813472,193,121,72,0.2333221531166338,3073.58129552185,3073.58129552185,388,81.36868969069864,2873.58129552185,13.623440625
0.0016,0.5,0.075,5517.5494386122145,0.6585365853658537,164,108,56,0.3367817817746145,5717.5494386122145,5717.5494386122145,390,159.33208676091994,5517.5494386122145,11.378965208
0.0016,0.5,0.1,7577.021634976825,0.6666666666666666,165,110,55,0.4136497190701722,7777.021634976825,7777.021634976825,390,224.15646552068813,7577.021634976825,13.917169042
0.0016,0.5,0.125,1200.552023405567,0.6224489795918368,98,61,37,0.4806315953975402,1400.552023405567,1400.552023405567,390,32.881652216323694,1200.552023405567,11.307486792
0.0016,0.55,0.03,5879.420910233095,0.7111913357400722,277,197,80,0.14609831677686125,6079.420910233095,6079.420910233095,635,144.26553006541087,5879.420910233095,14.660811791
0.0016,0.55,0.05,22917.84084389234,0.6744791666666666,384,259,125,0.24096710769233715,23117.84084389234,23117.84084389234,628,614.9820928184051,22917.84084389234,14.266367042
0.0016,0.55,0.075,27153.962795241685,0.6701030927835051,388,260,128,0.2588835873855212,27353.962795241685,27353.962795241685,627,723.9241280718281,27153.962795241685,11.575317291
0.0016,0.55,0.1,28344.615213459423,0.6718346253229974,387,260,127,0.2638286760770847,28544.615213459423,28544.615213459423,627,757.9427506096549,28344.615213459423,13.488372125
0.0016,0.55,0.125,28539.041127029603,0.6718346253229974,387,260,127,0.27908558701346425,28739.041127029603,28739.041127029603,627,762.6037572649209,28539.041127029603,14.687595667
0.0016,0.6,0.03,4759.6526094338205,0.7062937062937062,286,202,84,0.11257443920524153,4959.6526094338205,4959.6526094338205,781,128.4914308646869,4759.6526094338205,14.106234375
0.0016,0.6,0.05,13552.542383337144,0.7028985507246377,276,194,82,0.23117344143802118,13752.542383337144,13752.542383337144,777,351.49196193648515,13552.542383337144,14.115307083
0.0016,0.6,0.075,18279.81186150191,0.7018181818181818,275,193,82,0.30412852701986626,18479.81186150191,18479.81186150191,777,553.3545837717198,18279.81186150191,11.599094375
