LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,SPREAD_CAPTURE_THRESHOLD,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,total_fees,gross_pnl,pnl_net,elapsed_s
0.0008,0.55,0.05,0.965,23206.148552507675,0.7612456747404844,289,220,69,0.2246803487199999,23535.314431150797,23406.148552507675,839,0.6282608695652174,0.2698961937716263,171,8,8,1000.0934256055364,0.005025016689369586,0,3002577,517.16484749232,23723.313399999995,23206.148552507675,12.625769958
0.0008,0.55,0.05,0.97,23206.148552507675,0.7612456747404844,289,220,69,0.2246803487199999,23535.314431150797,23406.148552507675,839,0.6282608695652174,0.2698961937716263,171,8,8,1000.0934256055364,0.005025016689369586,0,3002577,517.16484749232,23723.313399999995,23206.148552507675,12.804546291
0.0008,0.55,0.05,0.975,23206.148552507675,0.7612456747404844,289,220,69,0.2246803487199999,23535.314431150797,23406.148552507675,839,0.6282608695652174,0.2698961937716263,171,8,8,1000.0934256055364,0.005025016689369586,0,3002577,517.16484749232,23723.313399999995,23206.148552507675,12.885574833
0.0008,0.55,0.05,0.98,23206.148552507675,0.7612456747404844,289,220,69,0.2246803487199999,23535.314431150797,23406.148552507675,839,0.6282608695652174,0.2698961937716263,171,8,8,1000.0934256055364,0.005025016689369586,0,3002577,517.16484749232,23723.313399999995,23206.148552507675,12.76025075
0.0008,0.55,0.05,0.985,22925.229218107674,0.7586206896551724,290,220,70,0.2246803487199999,23535.314431150797,23125.229218107674,843,0.625,0.27241379310344827,174,9,9,1000.0931034482759,0.004994593905036859,0,3002577,520.36418189232,23445.593399999994,22925.229218107674,12.954834958
0.0008,0.55,0.075,0.965,29742.011481462803,0.7586206896551724,290,220,70,0.32080849728000005,30071.177360105925,29942.011481462803,839,0.6290672451193059,0.42758620689655175,171,8,8,1000.1103448275862,0.005427228547003163,0,3002577,695.1898185371998,30437.201300000004,29742.011481462803,12.79603325
0.0008,0.55,0.075,0.97,29742.011481462803,0.7586206896551724,290,220,70,0.32080849728000005,30071.177360105925,29942.011481462803,839,0.6290672451193059,0.42758620689655175,171,8,8,1000.1103448275862,0.005427228547003163,0,3002577,695.1898185371998,30437.201300000004,29742.011481462803,12.847404083
0.0008,0.55,0.075,0.975,29742.011481462803,0.7586206896551724,290,220,70,0.32080849728000005,30071.177360105925,29942.011481462803,839,0.6290672451193059,0.42758620689655175,171,8,8,1000.1103448275862,0.005427228547003163,0,3002577,695.1898185371998,30437.201300000004,29742.011481462803,12.737925582999999
0.0008,0.55,0.075,0.98,29742.011481462803,0.7586206896551724,290,220,70,0.32080849728000005,30071.177360105925,29942.011481462803,839,0.6290672451193059,0.42758620689655175,171,8,8,1000.1103448275862,0.005427228547003163,0,3002577,695.1898185371998,30437.201300000004,29742.011481462803,12.780452125
0.0008,0.55,0.075,0.985,29461.0921470628,0.7560137457044673,291,220,71,0.32080849728000005,30071.177360105925,29661.0921470628,843,0.6258064516129033,0.42955326460481097,174,9,9,1000.1099656357388,0.0054027562060662655,0,3002577,698.3891529371998,30159.481300000003,29461.0921470628,12.808782458
0.0008,0.55,0.1,0.965,32389.546438312012,0.7612456747404844,289,220,69,0.34912323188,32718.712316955134,32589.546438312012,839,0.6282608695652174,0.5432525951557093,171,8,8,1000.1141868512111,0.005505571678912411,0,3002577,786.0229616880002,33175.569400000015,32389.546438312012,12.843695708
0.0008,0.55,0.1,0.97,32389.546438312012,0.7612456747404844,289,220,69,0.34912323188,32718.712316955134,32589.546438312012,839,0.6282608695652174,0.5432525951557093,171,8,8,1000.1141868512111,0.005505571678912411,0,3002577,786.0229616880002,33175.569400000015,32389.546438312012,12.740804458
