LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,LATENCY_ARB_MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,dislocation_regime_count,structural_pair_regime_count,calm_regime_count,dislocation_queued,structural_pair_queued,calm_queued,dislocation_filled,structural_pair_filled,calm_filled,dislocation_missed,structural_pair_missed,calm_missed,latency_arb_candidates,spread_capture_candidates,calm_persistence_candidates,router_blocked_count,capital_blocked_count,latency_spread_overlap_count,latency_calm_overlap_count,spread_calm_overlap_count,total_fees,gross_pnl,pnl_net,elapsed_s
0.0008,0.7,0.1,849.2681069123998,0.7061611374407583,211,149,62,0.31602105749573056,1510.7460942131997,1049.2681069123998,19374,0.7080536912751678,0.16113744075829384,87,2,2,288.7962085308057,0.009609323379574371,10141915,0,8173907,5,1859723,164,4,130,150,2,59,14,2,71,193,3,19177,0,235,0,0,0,121.0377930876,970.3058999999998,849.2681069123998,256.576563959
0.0008,0.7,0.125,972.8637464572005,0.7023255813953488,215,151,64,0.3103580563142327,1700.6850543180003,1172.8637464572005,19374,0.7072368421052632,0.22325581395348837,89,2,2,288.9953488372093,0.009334941463398359,10141915,0,8173907,5,1859723,168,4,132,154,2,59,14,2,73,193,3,19177,0,2,0,0,0,147.11315354280006,1119.9769000000006,972.8637464572005,243.002837791
0.001,0.5,0.03,62.09853478399998,0.55,20,11,9,0.06529397122175518,269.753407488,262.098534784,19336,0.024096385542168676,0.1,810,1,1,279.95,0.013182960161232429,10141915,0,8259719,5,1879381,9,2,819,7,1,12,2,1,807,14,3,19320,0,0,0,0,0,2.586465216,64.68499999999997,62.09853478399998,109.044961792
0.001,0.5,0.05,60.84211364799995,0.5416666666666666,24,13,11,0.17558433383928304,299.839411688,260.84211364799995,19121,0.028811524609843937,0.08333333333333333,809,1,1,283.4166666666667,0.011737813174652126,10141915,0,8190475,5,1859812,14,2,817,12,1,11,2,1,806,14,3,19105,0,0,0,0,0,3.8028863519999994,64.64499999999995,60.84211364799995,108.720459209
0.001,0.5,0.075,58.87145246400007,0.5416666666666666,24,13,11,0.23218019001587706,319.067296288,258.8714524640001,19121,0.028811524609843937,0.08333333333333333,809,1,1,282.7916666666667,0.009069384251118093,10141915,0,8190475,5,1859812,14,2,817,12,1,11,2,1,806,14,3,19105,0,0,0,0,0,4.893547536,63.76500000000007,58.87145246400007,239.370629125
0.001,0.5,0.1,55.30807169440004,0.5652173913043478,23,13,10,0.2658183223525218,329.9155844784,255.30807169440004,19119,0.027677496991576414,0.13043478260869565,808,0,0,281.95652173913044,0.00961125208604805,10141915,0,8190475,5,1859812,14,0,817,12,0,11,2,0,806,14,3,19105,0,0,0,0,0,5.9439283056,61.25200000000004,55.30807169440004,109.265755458
0.001,0.5,0.125,-1.143127913599983,0.5238095238095238,21,11,10,0.40087528316787585,331.91231558239997,198.85687208640002,19119,0.029288702928870293,0.14285714285714285,696,0,0,283.85714285714283,0.00936867422675924,10141915,0,8190475,5,1859812,12,0,705,11,0,10,1,0,695,14,3,19105,0,4090,0,0,0,6.1451279136000005,5.0020000000000175,-1.143127913599983,109.953732291
0.001,0.55,0.03,146.60363065951998,0.6486486486486487,37,24,13,0.07577932107687531,375.02258774751994,346.60363065952,19132,0.0492676431424767,0.08108108108108109,714,1,1,293.2432432432432,0.006884150350917217,10141915,0,8190475,5,1859812,22,2,727,18,1,18,4,1,709,25,3,19105,0,0,0,0,0,5.7737693404799995,152.37739999999997,146.60363065951998,110.535829833
0.001,0.55,0.05,155.48420751551987,0.6410256410256411,39,25,14,0.1100553062418989,392.01358201151993,355.48420751551987,19132,0.05179282868525897,0.07692307692307693,714,1,1,291.8205128205128,0.007626684351731831,10141915,0,8190475,5,1859812,24,2,727,20,1,18,4,1,709,25,3,19105,0,0,0,0,0,7.76319248448,163.24739999999986,155.48420751551987,109.818087125
0.001,0.55,0.075,167.76360505151996,0.6410256410256411,39,25,14,0.1631993661096024,415.92618518751993,367.76360505151996,19132,0.05179282868525897,0.07692307692307693,714,1,1,291.8205128205128,0.008270969813253428,10141915,0,8190475,5,1859812,24,2,727,20,1,18,4,1,709,25,3,19105,0,0,0,0,0,10.24379494848,178.00739999999996,167.76360505151996,110.578172042
0.001,0.55,0.1,160.00234705792002,0.6410256410256411,39,25,14,0.21631844568965566,426.72686931392,360.00234705792,19132,0.05179282868525897,0.1282051282051282,714,1,1,291.8205128205128,0.008349162438489585,10141915,0,8190475,5,1859812,24,2,727,20,1,18,4,1,709,25,3,19105,0,0,0,0,0,12.28205294208,172.2844,160.00234705792002,84.792619
0.001,0.55,0.125,146.99505789792005,0.6410256410256411,39,25,14,0.26635497588263585,433.95134229792006,346.99505789792005,19132,0.05179282868525897,0.1282051282051282,714,1,1,291.8205128205128,0.008168127781098494,10141915,0,8190475,5,1859812,24,2,727,20,1,18,4,1,709,25,3,19105,0,0,0,0,0,14.119342102080005,161.11440000000005,146.99505789792005,108.96139625
0.001,0.6,0.03,324.06358645503997,0.7246376811594203,69,50,19,0.07685193547577471,551.4648194630399,524.06358645504,19285,0.12169312169312169,0.043478260869565216,498,2,2,294.0289855072464,0.009353948973638145,10141915,0,8229045,5,1871871,42,4,521,38,2,29,4,2,492,48,3,19233,0,0,0,0,0,13.219613544959998,337.28319999999997,324.06358645503997,84.808620167
0.001,0.6,0.05,394.5317348710397,0.7183098591549296,71,51,20,0.11631244826809796,629.0795975030397,594.5317348710397,19285,0.12478031634446397,0.056338028169014086,498,2,2,293.22535211267603,0.010213535193763416,10141915,0,8229045,5,1871871,44,4,521,40,2,29,4,2,492,48,3,19233,0,0,0,0,0,18.751465128959996,413.2831999999997,394.5317348710397,84.7886375
0.001,0.6,0.075,502.5402534748798,0.7183098591549296,71,51,20,0.17132904984263775,747.9670759948799,702.5402534748798,19285,0.12478031634446397,0.08450704225352113,498,2,2,293.22535211267603,0.009914979715713423,10141915,0,8229045,5,1871871,44,4,521,40,2,29,4,2,492,48,3,19233,0,0,0,0,0,26.050746525119994,528.5909999999998,502.5402534748798,117.889285917
0.001,0.6,0.1,586.2917398515999,0.7183098591549296,71,51,20,0.21273681824116517,843.2701465636,786.2917398515999,19285,0.12478031634446397,0.11267605633802817,498,2,2,293.3098591549296,0.009303832878807946,10141915,0,8229045,5,1871871,44,4,521,40,2,29,4,2,492,48,3,19233,0,0,0,0,0,32.9251601484,619.2168999999999,586.2917398515999,113.703557916
0.001,0.6,0.125,673.3815404995999,0.7183098591549296,71,51,20,0.24599584607227817,952.0822309715999,873.3815404995999,19285,0.12478031634446397,0.11267605633802817,498,2,2,293.3098591549296,0.008742525974494783,10141915,0,8229045,5,1871871,44,4,521,40,2,29,4,2,492,48,3,19233,0,0,0,0,0,40.645359500400005,714.0268999999998,673.3815404995999,110.193079125
0.001,0.65,0.03,463.7534399560799,0.7619047619047619,105,80,25,0.14630119592255528,762.7458349080799,663.7534399560799,18978,0.3354632587859425,0.05714285714285714,208,2,2,292.18095238095236,0.008202972094050201,10141915,0,8158667,5,1853141,64,4,245,56,2,47,8,2,198,69,3,18905,0,0,0,0,0,25.307460043919992,489.0608999999999,463.7534399560799,111.933315458
0.001,0.65,0.05,590.3613044116798,0.75,108,81,27,0.1788477966147622,932.8413388964799,790.3613044116798,18978,0.34285714285714286,0.07407407407407407,207,2,2,292.1111111111111,0.009261334691798271,10141915,0,8158667,5,1853141,66,4,245,59,2,47,7,2,198,69,3,18905,0,0,0,0,0,36.26969558832,626.6309999999999,590.3613044116798,208.689140459
